Feature_1,Feature_2,Feature_3,Feature_4,Feature_5
0.5496714153011233,0.4861735698828815,0.5647688538100692,0.6523029856408026,0.4765846625276664
0.4765863043050819,0.6579212815507391,0.5767434729152909,0.4530525614065048,0.5542560043585965
0.4536582307187538,0.4534270246429743,0.5241962271566034,0.3086719755342202,0.3275082167486967
0.4437712470759027,0.39871688796655763,0.5314247332595274,0.4091975924478789,0.3587696298664709
0.6465648768921555,0.47742236995134646,0.5067528204687923,0.3575251813786543,0.44556172754748175
0.5110922589709866,0.3849006422577697,0.5375698018345672,0.4399361310081195,0.4708306250206723
3.1952309478343235,1.7547728780235705,2.997120311665408,2.737644802375733,1.4124579899528757
0.37791563500289777,0.5208863595004756,0.30403298761202247,0.3671813951101569,0.5196861235869124
0.573846657999541,0.5171368281189971,0.48843517176117596,0.4698896304410711,0.35214780096325726
0.4280155791605291,0.45393612290402124,0.6057122226218916,0.5343618289568461,0.3236959844637266
0.5324083969394795,0.4614917719583683,0.4323077999694041,0.5611676288840868,0.6030999522495951
0.5931280119116199,0.41607824767773616,0.46907876241487856,0.5331263431403563,0.5975545127122359
0.452082576215471,0.4814341023336183,0.3893665025993972,0.38037933759193293,0.5812525822394198
0.6356240028570823,0.49279898784196663,0.6003532897892024,0.5361636025047634,0.43548802453948754
0.5361395605508414,0.6538036566465969,0.49641739608900487,0.6564643655814006,0.23802548959102554
1.4376596219710236,3.22494566555007,3.0774602947966874,2.06874425540942,1.8603036610178787
0.4780328112162488,0.5357112571511746,0.6477894044741517,0.44817297817263524,0.4191506397106812
0.44982429564154636,0.5915402117702074,0.5328751109659684,0.4470239796232961,0.5513267433113356
0.509707754934804,0.596864499053289,0.4297946906122648,0.4672337853402232,0.4607891846867842
0.35364850518678814,0.5296120277064577,0.526105527217989,0.500511345664246,0.4765412866624853
0.35846292579495853,0.4579354677234641,0.465728548347323,0.4197722730778381,0.48387142883339906
0.5404050856814538,0.6886185901210531,0.5174577812831839,0.5257550390722764,0.4925554084233833
0.30812287847009584,0.49734861245507833,0.5060230209941027,0.7463242112485287,0.48076390352188775
0.5301547342333612,0.49652882302947565,0.3831321962380468,0.6142822814515021,0.5751933032686775
3.4995747296729087,2.205923889825634,2.7705439246306183,1.2374134398671173,2.8965900744020674
0.7190455625809978,0.40094636748693113,0.4433702270397228,0.5099651365087641,0.44965243458838006
0.34493365689338673,0.5068562974806027,0.3937696286273895,0.5473592430635181,0.4080575765766197
0.6549934405017539,0.42167467076637627,0.46779384837943244,0.581351721736967,0.3769135683566045
